giocatore,squadra,ruolo,ruolo_fine,minuti,TPI_totale,TPI_casa,TPI_trasferta,TPI_vs_top6,TPI_vs_forti,TPI_ext_totale,totale_output_adj,totale_centralita,totale_boost_ratio,totale_consistenza,casa_output_adj,trasferta_output_adj,vs_top6_output_adj,vs_forti_output_adj,goal_tot,xg_tot_conv,conv_ratio,finishing_quality,goal_minus_xg,xg_p90,xa_p90,sos,form_ewma,form_trend,eta,eta_index,partite_disponibili,partite_giocate,n_infortuni,giorni_out,affidabilita_fisica,rank_TPI,rank_TPI_ext,rank_output_adj,rank_conv,rank_eta,rank_affidabilita,z_totale_output_adj,z_totale_centralita,z_totale_boost_ratio,z_totale_consistenza,z_conv_ratio,z_finishing,z_eta_index,z_affidabilita_fisica
Tyler Adams,Bournemouth,CEN,MEDIANO,286.0,-0.3623,-0.1245,-0.1245,-0.664,-0.1245,-0.3204,0.1784,11.2149,,,,,0.1071,,0,0.02,,-0.1414,-0.02,0.006,0.022,0.9328,0.023,0.219,27.6,0.4247,5,5,0,0,,239,247,133,184,180,137,-0.9442,-1.1291,,,,0.1724,-0.4159,
Exequiel Palacios,Ipswich,CEN,MEDIANO,278.0,-0.3632,-0.5928,-0.5928,-0.6037,-0.5928,-0.326,0.1795,12.9083,,,,,,,0,0.0,,,0.0,0.0,0.0324,0.9589,0.0,,27.96,0.39,5,4,0,0,,240,248,131,184,189,137,-0.8983,-0.5777,,,,,-0.5788,
Noah Okafor,Leeds,ATT,SECONDA_PUNTA,308.0,-0.3686,0.9179,0.9179,0.9275,0.9179,-0.4298,0.4327,12.9203,,,,,,,1,0.2,,1.7889,0.8,0.058,0.0351,0.9901,0.1181,0.049,26.33,0.5498,5,5,0,0,,241,265,80,184,135,137,-1.7317,-1.5471,,,,2.7062,-0.0376,
Dominic Solanke,Tottenham,ATT,CENTRAVANTI,179.0,-0.3703,-0.1827,-0.1827,-0.1704,-0.1827,-0.3816,0.4682,14.7817,,,,,,,0,0.37,,-0.6083,-0.37,0.186,0.0503,0.9757,0.5332,-0.25,29.02,0.3011,5,5,0,0,,242,257,57,184,220,137,-0.6705,-1.1427,,,,-0.5763,-1.4188,
Sven Botman,Newcastle United,DIF,CENTRALE,450.0,-0.3727,-0.1186,-0.1186,-0.1162,-0.1186,-0.2753,0.1162,12.5628,,,,,,,0,0.04,,-0.2,-0.04,0.008,0.0,0.8979,0.01,0.25,26.69,0.5155,5,5,0,0,,243,243,216,184,147,137,-1.3535,-0.6532,,,,0.0506,0.0852,
Elliot Stroud,Hull,CEN,ESTERNO_C,260.0,-0.3788,-0.2371,-0.2371,-0.2484,-0.2371,-0.3279,0.1803,13.6619,,,,,,,0,0.07,,-0.2646,-0.07,0.024,0.0104,1.1295,0.0145,,,,5,4,0,0,,244,249,129,184,271,137,-0.8594,-0.3322,,,,-0.0982,,
Dango Ouattara,Brentford,ATT,ALA,180.0,-0.3838,-0.2579,-0.2579,-0.2456,-0.2579,-0.2759,0.4674,11.7438,,,,,,,0,0.06,,-0.2449,-0.06,0.03,0.21,1.0208,0.1697,-0.295,24.61,0.6948,5,5,0,0,,245,244,58,184,80,137,-0.6933,-1.8027,,,,-0.0787,0.7676,
John Egan,Hull,DIF,CENTRALE,443.0,-0.3847,-0.1044,-0.1044,-0.102,-0.1044,-0.3576,0.1158,12.3742,,,,,,,0,0.03,,-0.1732,-0.03,0.006,0.0,1.132,0.0075,0.216,33.92,0.1212,5,5,0,0,,246,252,217,184,262,137,-1.3719,-0.7291,,,,0.1121,-1.7535,
Chris Richards,Crystal Palace,DIF,CENTRALE,450.0,-0.3915,-0.1376,-0.1376,-0.1352,-0.1376,-0.3524,0.1163,11.3052,,,,,,,0,0.05,,-0.2236,-0.05,0.01,0.0,1.0154,0.0065,-0.35,26.48,0.5355,5,5,0,0,,247,250,215,184,138,137,-1.3443,-1.1588,,,,-0.0035,0.1784,
Sandro Tonali,Tottenham,CEN,MEDIANO,436.0,-0.3916,-0.3898,-0.3898,-0.3983,-0.3898,-0.266,0.1816,14.7256,,,,,,,0,0.26,,-0.5099,-0.26,0.054,0.0413,0.9757,0.0889,-0.112,26.37,0.546,5,5,0,0,,248,240,127,184,136,137,-0.8048,0.0142,,,,-0.637,0.1536,
Lewis Cook,Bournemouth,CEN,MEDIANO,177.0,-0.3918,-0.5153,-0.5153,-0.8422,-0.5153,-0.4762,0.1854,10.9164,,,,,0.1072,,0,0.0,,,0.0,0.0,0.0153,0.9328,0.0039,-0.487,29.63,0.2599,5,5,0,0,,249,269,119,184,230,137,-0.6349,-1.2263,,,,,-1.1897,
Brennan Johnson,Everton,ATT,ALA,241.0,-0.3964,-0.5524,-0.5524,-0.5415,-0.5524,-0.1592,0.4789,16.1346,,,,,,,0,0.92,0.0,-0.9592,-0.92,0.344,0.0747,1.0693,0.3462,0.223,25.33,0.6407,5,5,0,0,,250,197,49,77,102,137,-0.3491,-0.8487,,,-1.1645,-1.0568,0.4672,
Thiago,Brentford,ATT,CENTRAVANTI,444.0,-0.4018,-0.4983,-0.4983,-0.491,-0.4983,-0.2302,0.4859,20.0496,,,,,,,1,2.29,0.437,-0.8525,-1.29,0.464,0.0122,1.0208,0.4305,-0.088,25.24,0.6481,5,5,0,0,,251,229,42,59,97,137,-0.1398,0.0018,,,-0.5019,-0.9107,0.5083,
Florian Wirtz,Liverpool,ATT,TREQUARTISTA,405.0,-0.4026,-0.6427,-0.6427,-0.6347,-0.6427,-0.1803,0.4561,17.6053,,,,,,,0,0.97,0.0,-0.9849,-0.97,0.216,0.0956,1.029,0.3547,0.102,23.39,0.7466,5,5,0,0,,252,209,67,77,45,137,-1.0331,-0.5292,,,-1.1645,-1.092,1.0553,
Jørgen Strand Larsen,Crystal Palace,ATT,CENTRAVANTI,299.0,-0.4027,0.5573,0.5573,0.567,0.5573,-0.4019,0.4435,13.8072,,,,,,,1,0.36,,1.0667,0.64,0.108,0.0542,1.0154,0.2239,0.149,26.62,0.5222,5,5,0,0,,253,261,76,184,142,137,-1.4079,-1.3544,,,,1.7173,-0.1909,
Oliver McBurnie,Hull,ATT,CENTRAVANTI,444.0,-0.4165,-0.7631,-0.7631,-0.7558,-0.7631,-0.3878,0.4715,24.6127,,,,,,,0,1.64,0.0,-1.2806,-1.64,0.332,0.1135,1.132,0.4589,0.021,30.3,0.2229,5,5,0,0,,254,259,53,77,239,137,-0.5707,0.9932,,,-1.1645,-1.4969,-1.853,
Malick Thiaw,Newcastle United,DIF,CENTRALE,450.0,-0.4216,-0.356,-0.356,-0.3536,-0.356,-0.2907,0.1175,12.7338,,,,,,,0,0.0,,,0.0,0.0,0.014,0.8979,0.0103,-0.264,25.12,0.6578,5,5,0,0,,255,245,214,184,95,137,-1.2846,-0.5845,,,,,0.7487,
Christos Tzolis,Arsenal,ATT,ALA,371.0,-0.4343,-0.4012,-0.4012,-0.3927,-0.4012,-0.2315,0.4531,16.1306,,,,,,,0,0.24,,-0.4899,-0.24,0.058,0.2547,1.1546,0.248,-0.115,24.64,0.6928,5,5,0,0,,256,230,69,184,82,137,-1.1217,-0.8496,,,,-0.4142,0.7565,
Marcus Rashford,Manchester United,ATT,ALA,359.0,-0.4371,-0.6293,-0.6293,-0.6205,-0.6293,-0.3709,0.4804,17.4189,,,,,,,0,1.32,0.0,-1.1489,-1.32,0.331,0.1128,1.0342,0.4652,0.114,28.89,0.3108,5,5,0,0,,257,255,47,77,212,137,-0.3044,-0.5697,,,-1.1645,-1.3166,-1.3649,
Harvey Barnes,Newcastle United,ATT,ALA,450.0,-0.4427,0.0307,0.0307,0.038,0.0307,-0.4456,0.4477,19.4027,,,,,,,1,0.86,1.163,0.151,0.14,0.172,0.076,0.8979,0.2662,0.073,28.78,0.3193,5,5,0,0,,258,267,74,27,205,137,-1.2821,-0.1387,,,0.599,0.4634,-1.3177,
Rodrigo Bentancur,Tottenham,CEN,MEDIANO,378.0,-0.4554,-0.169,-0.169,-0.1785,-0.169,-0.4118,0.169,12.4247,,,,,,,0,0.03,,-0.1732,-0.03,0.007,0.0048,0.9757,0.0145,0.009,29.24,0.2854,5,5,0,0,,259,262,141,184,225,137,-1.3654,-0.7351,,,,0.1025,-1.07,
Guemissongui Ouattara,Ipswich,ATT,TERZINO,124.0,-0.4601,-0.1983,-0.1983,-0.1852,-0.1983,-0.2561,0.4652,11.9957,,,,,,,0,0.01,,-0.1,-0.01,0.007,0.0871,0.9836,0.1315,0.1,24.61,0.6948,5,5,0,0,,260,238,59,184,80,137,-0.7595,-1.7479,,,,0.1197,0.7676,
Frank Onyeka,Coventry,CEN,MEZZALA,318.0,-0.4604,-0.208,-0.208,-0.218,-0.208,-0.4395,0.1738,13.9556,,,,,,,0,0.04,,-0.2,-0.04,0.011,0.0,0.8029,0.0,,28.72,0.324,5,4,0,0,,261,266,135,184,203,137,-1.1538,-0.2366,,,,0.0437,-0.8887,
Matt Grimes,Coventry,CEN,MEZZALA,445.0,-0.485,-0.2625,-0.2625,-0.2709,-0.2625,-0.412,0.1703,13.7494,,,,,,,0,0.09,,-0.3,-0.09,0.018,0.0162,0.818,0.0377,0.097,31.19,0.1853,5,5,0,0,,262,263,139,184,245,137,-1.3106,-0.3037,,,,-0.176,-1.5399,
Ethan Ampadu,Leeds,CEN,MEZZALA,450.0,-0.5219,-0.1288,-0.1288,-0.1371,-0.1288,-0.3603,0.1733,12.7642,,,,,,,0,0.04,,-0.2,-0.04,0.008,0.05,0.9901,0.0697,0.202,26.02,0.579,5,5,0,0,,263,253,137,184,124,137,-1.1747,-0.6246,,,,0.0437,0.3086,
Ephron Mason-Clark,Coventry,ATT,TREQUARTISTA,240.0,-0.5361,-0.37,-0.37,-0.3597,-0.37,-0.4207,0.4592,16.288,,,,,,,0,0.33,,-0.5745,-0.33,0.124,0.0675,0.8558,0.3064,,27.07,0.4789,5,4,0,0,,264,264,64,184,164,137,-0.9388,-0.8154,,,,-0.53,-0.4314,
Daizen Maeda,Ipswich,ATT,ALA,262.0,-0.5718,-0.6511,-0.6511,-0.6406,-0.6511,-0.4644,0.4633,15.4468,,,,,,,0,0.79,0.0,-0.8888,-0.79,0.271,0.0,0.9836,0.1886,0.057,28.92,0.3085,5,5,0,0,,265,268,61,77,216,137,-0.8147,-0.9982,,,-1.1645,-0.9604,-1.3777,
Jacob Murphy,Newcastle United,ATT,ALA,178.0,-0.5949,-0.3245,-0.3245,-0.3123,-0.3245,-0.3995,0.4546,13.2468,,,,,,,0,0.04,,-0.2,-0.04,0.02,0.0607,0.8979,0.048,0.5,31.57,0.1726,5,5,0,0,,266,260,68,184,248,137,-1.0771,-1.4761,,,,-0.0172,-2.1324,
Mathys Tel,Tottenham,ATT,ALA,259.0,-0.6024,-0.5292,-0.5292,-0.5192,-0.5292,-0.2997,0.4452,15.4929,,,,,,,0,0.25,,-0.5,-0.25,0.087,0.0278,0.8878,0.072,,21.4,0.7754,5,4,0,0,,267,246,75,184,15,137,-1.3593,-0.9882,,,,-0.428,1.2152,
George Hemmings,Aston Villa,ATT,ALA,298.0,-0.6063,-0.4902,-0.4902,-0.4804,-0.4902,-0.3758,0.4561,16.9166,,,,,,,0,0.26,,-0.5099,-0.26,0.079,0.1359,0.8672,0.1297,-0.235,20.63,0.7558,5,5,0,0,,268,256,66,184,27,137,-1.0328,-0.6788,,,,-0.4416,1.1064,
Brandon Thomas-Asante,Coventry,ATT,CENTRAVANTI,226.0,-0.6599,-0.4282,-0.4282,-0.417,-0.4282,-0.4902,0.45,14.2796,,,,,,,0,0.26,,-0.5099,-0.26,0.104,0.0,0.818,0.1661,0.149,27.73,0.4119,5,5,0,0,,269,270,70,184,184,137,-1.2139,-1.2517,,,,-0.4416,-0.8034,
Thomas Meunier,Sunderland,ATT,ALA,413.0,-0.6789,-0.5525,-0.5525,-0.5447,-0.5525,-0.3827,0.443,14.6978,,,,,,,0,0.55,0.0,-0.7416,-0.55,0.12,0.1155,0.9991,0.2799,0.139,25.64,0.6138,5,5,0,0,,270,258,78,77,112,137,-1.4232,-1.1609,,,-1.1645,-0.7588,0.3178,
John McGinn,Aston Villa,ATT,ALA,447.0,-0.6799,-0.6484,-0.6484,-0.6411,-0.6484,-0.5628,0.4415,18.9179,,,,,,,0,0.55,0.0,-0.7416,-0.55,0.111,0.1007,0.8672,0.1912,-0.09,31.93,0.1621,5,5,0,0,,271,273,79,77,250,137,-1.4683,-0.2441,,,-1.1645,-0.7588,-2.1907,
Omar Marmoush,Tottenham,ATT,CENTRAVANTI,344.0,-0.6811,-0.8003,-0.8003,-0.792,-0.8003,-0.5521,0.4479,17.6637,,,,,,,0,0.65,0.0,-0.8062,-0.65,0.17,0.0523,0.9905,0.04,,27.62,0.4227,5,4,0,0,,272,272,73,77,181,137,-1.2765,-0.5165,,,-1.1645,-0.8473,-0.7435,
Daichi Kamada,Crystal Palace,ATT,TREQUARTISTA,449.0,-0.7128,-0.5123,-0.5123,-0.505,-0.5123,-0.5418,0.4435,17.6368,,,,,,,0,0.45,,-0.6708,-0.45,0.09,0.1684,1.0154,0.2857,0.106,30.13,0.2315,5,5,0,0,,273,271,77,184,238,137,-1.4084,-0.5224,,,,-0.6619,-1.8053,
