giocatore,squadra,ruolo,ruolo_fine,minuti,TPI_totale,TPI_casa,TPI_trasferta,TPI_vs_top6,TPI_vs_forti,TPI_ext_totale,totale_output_adj,totale_centralita,totale_boost_ratio,totale_consistenza,casa_output_adj,trasferta_output_adj,vs_top6_output_adj,vs_forti_output_adj,goal_tot,xg_tot_conv,conv_ratio,finishing_quality,goal_minus_xg,xg_p90,xa_p90,sos,form_ewma,form_trend,eta,eta_index,partite_disponibili,partite_giocate,n_infortuni,giorni_out,affidabilita_fisica,rank_TPI,rank_TPI_ext,rank_output_adj,rank_conv,rank_eta,rank_affidabilita,z_totale_output_adj,z_totale_centralita,z_totale_boost_ratio,z_totale_consistenza,z_conv_ratio,z_finishing,z_eta_index,z_affidabilita_fisica
João Gomes,Aston Villa,CEN,MEDIANO,129.0,-0.216,-0.254,-0.254,-0.2751,-0.254,-0.1273,,,,,,,,,0,0.0,,,0.0,0.0,0.0349,1.0892,0.02,,25.6,0.6174,5,2,0,0,,187,174,245,184,110,137,,,,,,,0.4889,
Jaidon Anthony,Brentford,ATT,ALA,122.0,-0.2178,-0.2127,-0.2127,-0.1926,-0.2127,-0.1384,,,,,,,,,0,0.16,,-0.4,-0.16,0.118,0.177,0.9967,0.075,,26.81,0.5041,5,3,0,0,,188,185,245,184,152,137,,,,,,-0.2911,-0.2914,
Aaron Hickey,Brentford,DIF,TERZINO,147.0,-0.2209,-0.1017,-0.1017,-0.0976,-0.1017,-0.1232,0.134,9.7895,,,,,,,0,0.04,,-0.2,-0.04,0.024,0.0,1.0208,0.0098,0.048,24.28,0.7144,5,5,0,0,,189,173,183,184,69,137,-0.4359,-1.7681,,,,0.0506,1.0127,
Ryan Gravenberch,Liverpool,CEN,MEDIANO,189.0,-0.2232,-0.1751,-0.1751,-0.1888,-0.1751,-0.1307,0.1911,11.6283,,,,,,,0,0.08,,-0.2828,-0.08,0.038,0.0524,1.029,0.0698,-0.248,24.35,0.7106,5,5,0,0,,190,177,110,184,73,137,-0.3765,-0.9945,,,,-0.1382,0.9265,
Jair,Nottingham Forest,DIF,CENTRALE,360.0,-0.2273,-0.0773,-0.0773,-0.0746,-0.0773,-0.0919,0.1209,12.4619,,,,,,,0,0.03,,-0.1732,-0.03,0.007,0.0025,0.9515,0.03,,21.54,0.7772,5,4,0,0,,191,161,207,184,7,137,-1.1098,-0.6938,,,,0.1121,1.3055,
Calvin Bassey,Fulham,DIF,CENTRALE,450.0,-0.2284,-0.2044,-0.2044,-0.202,-0.2044,-0.1112,0.12,11.5914,,,,,,,0,0.15,,-0.3873,-0.15,0.03,0.0,1.0593,0.0375,0.25,26.72,0.5127,5,5,0,0,,192,168,209,184,149,137,-1.1539,-1.0437,,,,-0.379,0.0721,
Evanilson,Bournemouth,ATT,CENTRAVANTI,430.0,-0.2285,-0.5944,-0.5944,0.3397,-0.5944,-0.3614,0.4886,21.4146,,,,,0.5838,,0,0.92,0.0,-0.9592,-0.92,0.193,0.2553,0.9328,0.3998,-0.119,26.96,0.49,5,5,0,0,,193,254,38,77,157,137,-0.0576,0.2984,,,-1.1645,-1.0568,-0.3697,
Nathan Collins,Brentford,DIF,CENTRALE,196.0,-0.2289,-0.2355,-0.2355,-0.2289,-0.2355,-0.1434,,,,,,,,,0,0.6,0.0,-0.7746,-0.6,0.276,0.0367,0.9967,0.0,,25.39,0.6356,5,3,1,0,,194,189,245,77,103,137,,,,,-1.0536,-1.2675,0.6452,
Shea Charles,Fulham,CEN,MEDIANO,305.0,-0.2312,-0.1754,-0.1754,-0.1864,-0.1754,-0.2512,0.1824,12.0422,,,,,,,0,0.06,,-0.2449,-0.06,0.018,0.0531,1.0593,0.0552,-0.39,27.55,0.4297,5,5,0,0,,195,235,126,184,178,137,-0.7673,-0.8597,,,,-0.0549,-0.3924,
Jordan Henderson,Chelsea,CEN,MEZZALA,90.0,-0.2349,-0.2712,-0.2712,-0.2914,-0.2712,-0.1915,,,,,,,,,0,0.0,,,0.0,0.0,0.0,0.9164,0.0,,36.26,0.0893,5,1,0,0,,196,212,245,184,268,137,,,,,,,-1.9907,
Rayan,Bournemouth,ATT,ALA,446.0,-0.2391,-0.7542,-0.7542,0.4546,-0.7542,-0.2287,0.4911,22.1111,,,,,0.6079,,0,1.59,0.0,-1.261,-1.59,0.321,0.1392,0.9328,0.4549,-0.015,20.13,0.7365,5,5,0,0,,197,228,34,77,54,137,0.0179,0.4497,,,-1.1645,-1.4701,0.9992,
Milan van Ewijk,Coventry,DIF,TERZINO,360.0,-0.2393,-0.2837,-0.2837,-0.2811,-0.2837,-0.1449,0.1263,14.2125,,,,,,,0,0.0,,,0.0,0.0,0.0375,0.8693,0.03,,26.03,0.5781,5,4,0,0,,198,190,192,184,126,137,-0.8302,0.0099,,,,,0.3771,
Vitalii Mykolenko,Everton,DIF,TERZINO,450.0,-0.2451,-0.1238,-0.1238,-0.1215,-0.1238,-0.1627,0.1234,11.8111,,,,,,,0,0.09,,-0.3,-0.09,0.018,0.03,1.0693,0.0594,0.238,27.32,0.4529,5,5,0,0,,199,199,200,184,171,137,-0.983,-0.9554,,,,-0.1788,-0.2067,
Jaydee Canvot,Crystal Palace,DIF,CENTRALE,360.0,-0.2478,-0.0692,-0.0692,-0.0666,-0.0692,-0.1277,0.1209,11.8202,,,,,,,0,0.02,,-0.1414,-0.02,0.005,0.005,0.9541,0.02,,20.15,0.7373,5,4,0,0,,200,175,207,184,53,137,-1.1098,-0.9518,,,,0.1851,1.1194,
Iliman Ndiaye,Manchester City,ATT,ALA,268.0,-0.2489,-0.2437,-0.2437,-0.2237,-0.2437,-0.1571,,,,,,,,,0,0.283,,-0.532,-0.283,0.095,0.2284,1.0433,0.0951,,26.54,0.5298,5,3,0,0,,201,196,245,184,139,137,,,,,,-0.4718,-0.1487,
Youri Tielemans,Manchester United,CEN,MEDIANO,408.0,-0.2505,-0.418,-0.418,-0.4271,-0.418,-0.2412,0.1919,12.6369,,,,,,,0,0.36,,-0.6,-0.36,0.079,0.0728,1.0342,0.1267,-0.102,29.37,0.2765,5,5,0,0,,202,233,109,184,227,137,-0.3443,-0.666,,,,-0.8349,-1.1117,
César Palacios,Fulham,ATT,ALA,238.0,-0.2536,-0.1015,-0.1015,-0.0911,-0.1015,-0.0312,0.4806,17.6148,,,,,,,1,1.1,0.909,-0.0953,-0.1,0.416,0.034,1.1121,0.2842,,21.86,0.7786,5,4,0,0,,203,126,46,43,1,137,-0.298,-0.5272,,,0.2139,0.1262,1.233,
Lisandro Martínez,Manchester United,DIF,CENTRALE,360.0,-0.2581,-0.0833,-0.0833,-0.0806,-0.0833,-0.2541,0.1257,11.218,,,,,,,0,0.15,,-0.3873,-0.15,0.037,0.005,1.0732,0.14,,28.67,0.328,5,4,0,0,,204,237,196,184,202,137,-0.8602,-1.1938,,,,-0.379,-0.7891,
Nico González,Newcastle United,CEN,MEDIANO,170.0,-0.2659,-0.307,-0.307,-0.3299,-0.307,-0.1515,,,,,,,,,0,0.0,,,0.0,0.0,0.0265,0.921,0.0,,24.71,0.6881,5,3,0,0,,205,193,245,184,87,137,,,,,,,0.8208,
Víctor Muñoz,Liverpool,ATT,ALA,261.0,-0.2719,0.4489,0.4489,0.4594,0.4489,-0.1745,0.4578,14.0981,,,,,,,1,0.48,,0.7506,0.52,0.166,0.0724,1.029,0.342,0.15,23.19,0.7492,5,5,0,0,,206,207,65,184,39,137,-0.9816,-1.2912,,,,1.2845,1.0697,
Dan Ballard,Sunderland,DIF,CENTRALE,450.0,-0.2766,-0.1938,-0.1938,-0.1914,-0.1938,-0.1951,0.1276,11.2998,,,,,,,0,0.18,,-0.4243,-0.18,0.036,0.03,0.9991,0.0665,0.008,27.0,0.4862,5,5,0,0,,207,214,190,184,159,137,-0.7648,-1.161,,,,-0.4639,-0.0514,
Kobbie Mainoo,Manchester United,CEN,MEDIANO,360.0,-0.277,-0.3167,-0.3167,-0.3266,-0.3167,-0.0887,0.1876,11.7071,,,,,,,0,0.24,,-0.4899,-0.24,0.06,0.06,1.0342,0.1208,-0.001,21.42,0.7757,5,5,0,0,,208,160,112,184,13,137,-0.5326,-0.9688,,,,-0.5931,1.2321,
Emiliano Buendía,Aston Villa,ATT,TREQUARTISTA,413.0,-0.2787,0.088,0.088,0.0958,0.088,-0.2701,0.4488,18.9767,,,,,,,1,0.76,1.316,0.2753,0.24,0.166,0.0654,0.8672,0.2383,0.043,29.74,0.2532,5,5,0,0,,209,242,72,23,233,137,-1.251,-0.2313,,,0.831,0.6336,-1.6848,
