giocatore,squadra,ruolo,ruolo_fine,minuti,TPI_totale,TPI_casa,TPI_trasferta,TPI_vs_top6,TPI_vs_forti,TPI_ext_totale,totale_output_adj,totale_centralita,totale_boost_ratio,totale_consistenza,casa_output_adj,trasferta_output_adj,vs_top6_output_adj,vs_forti_output_adj,goal_tot,xg_tot_conv,conv_ratio,finishing_quality,goal_minus_xg,xg_p90,xa_p90,sos,form_ewma,form_trend,eta,eta_index,partite_disponibili,partite_giocate,n_infortuni,giorni_out,affidabilita_fisica,rank_TPI,rank_TPI_ext,rank_output_adj,rank_conv,rank_eta,rank_affidabilita,z_totale_output_adj,z_totale_centralita,z_totale_boost_ratio,z_totale_consistenza,z_conv_ratio,z_finishing,z_eta_index,z_affidabilita_fisica
Nico O'Reilly,Manchester City,DIF,TERZINO,2646.0,0.958,0.8647,0.9212,0.8205,0.8934,0.8795,0.3136,14.8581,,0.4451,0.3055,0.2634,0.2352,0.3468,5,6.73,0.743,-0.6669,-1.73,0.229,0.131,1.0095,0.4619,0.332,21.17,0.7712,38,34,0,0,0.9474,11,5,123,173,23,86,3.0,2.1417,,1.3714,0.1347,-0.5385,1.2918,0.9773
Declan Rice,Arsenal,CEN,MEZZALA,3111.0,0.9161,0.946,0.802,0.7376,0.6994,0.7063,0.3147,16.9748,,0.5377,0.3319,0.2692,0.2676,0.2854,4,3.72,1.075,0.1452,0.28,0.108,0.2358,1.0237,0.1503,-0.551,27.36,0.4488,38,36,0,0,0.9737,12,11,121,87,211,45,1.7101,1.7635,,2.0797,0.209,0.3326,-0.1793,1.2114
Bryan Mbeumo,Manchester United,ATT,ALA,2676.0,0.9042,0.7785,1.0148,1.0367,1.6084,0.6627,0.5875,26.5897,,0.5038,0.5932,0.5313,0.6296,0.7827,11,13.3,0.827,-0.6307,-2.3,0.447,0.1712,0.9922,1.1303,0.851,26.8,0.5051,38,33,0,0,0.9342,13,14,10,151,193,107,1.7522,1.6269,,1.0542,-0.0378,-0.3979,-0.2196,0.5944
Casemiro,Manchester United,CEN,MEDIANO,2649.0,0.8956,1.0314,0.7514,0.9838,1.1888,0.6358,0.3052,14.962,,0.3506,0.3091,0.267,0.3015,0.3512,9,6.56,1.372,0.9527,2.44,0.223,0.1077,1.0092,0.3315,-0.24,34.25,0.1161,38,34,0,0,0.9474,14,17,126,57,329,86,1.5666,1.1777,,-0.1471,0.6922,1.4633,-1.6383,0.8658
João Pedro,Chelsea,ATT,CENTRAVANTI,2698.0,0.8924,0.3871,1.3814,0.9677,0.2974,0.6161,0.6118,26.5117,,0.4815,0.5575,0.6084,0.6238,0.5305,15,15.73,0.954,-0.1841,-0.73,0.525,0.1328,1.0072,0.5198,-0.172,24.66,0.6915,38,35,0,0,0.9605,15,19,8,110,102,65,2.0214,1.6117,,0.8337,0.2441,0.1604,0.7352,0.9406
Bukayo Saka,Arsenal,ATT,ALA,2239.0,0.8811,0.6827,1.1981,0.1744,0.2536,0.5975,0.5944,25.5034,0.8881,0.5209,0.594,0.5354,0.4926,0.5024,6,7.94,0.756,-0.6885,-1.94,0.319,0.3425,1.0323,0.9614,0.227,24.71,0.6881,38,31,0,0,0.9079,16,22,9,170,105,145,1.8288,1.4161,-0.9709,1.2234,-0.1954,-0.4701,0.7178,0.2483
Mikel Merino,Arsenal,CEN,MEZZALA,1002.0,0.879,0.8423,0.7338,0.2482,0.4094,0.3528,0.4359,16.1939,1.0285,0.4198,0.3697,0.3511,0.2297,0.2671,4,5.23,0.765,-0.5378,-1.23,0.47,0.2057,1.0204,1.8682,1.459,29.92,0.2429,38,22,0,0,0.7895,17,51,55,166,291,274,3.0,1.5362,0.0906,0.6765,-0.2953,-0.6237,-1.0822,-1.2089
Patrick Dorgu,Manchester United,DIF,QUINTO,1436.0,0.8171,0.5629,0.9057,0.8113,0.7951,0.7254,0.2919,12.7635,1.0504,0.4813,0.2254,0.2645,0.2373,0.2661,4,2.98,1.342,0.5909,1.02,0.187,0.1955,0.9878,0.8181,1.363,21.57,0.7775,38,26,0,0,0.8421,18,9,132,60,9,217,3.0,1.3648,0.5157,1.8459,1.2171,1.613,1.3209,-0.1363
Mohamed Salah,Liverpool,ATT,ALA,2163.0,0.7981,0.9727,0.4793,0.6337,1.2702,0.2977,0.5605,26.0312,1.1989,0.575,0.6195,0.447,0.5453,0.7141,6,8.08,0.743,-0.7317,-2.08,0.336,0.2671,1.0028,0.6027,-0.046,33.94,0.1209,38,27,0,0,0.8553,19,58,13,173,327,204,1.4535,1.5185,1.5513,1.7584,-0.2243,-0.5241,-2.1877,-0.4439
Morgan Gibbs-White,Nottingham Forest,ATT,TREQUARTISTA,3142.0,0.796,0.9085,0.6743,0.528,0.7427,0.8225,0.4406,29.069,,0.4215,0.4895,0.3893,0.429,0.4674,14,10.9,1.284,0.939,3.1,0.312,0.1283,0.9942,1.2504,1.432,26.32,0.5507,38,37,0,0,0.9868,20,6,49,64,170,26,0.124,2.1078,,0.2403,0.9766,1.5641,0.014,1.2867
Jéremy Doku,Manchester City,ATT,ALA,1783.0,0.7945,0.9856,0.4903,0.6805,0.335,0.6802,0.5332,18.1258,0.9728,0.5745,0.6174,0.3949,0.5082,0.4644,5,4.01,1.247,0.4944,0.99,0.202,0.3796,1.0065,0.545,-0.019,23.99,0.7284,38,30,0,0,0.8947,21,12,21,69,73,162,1.1508,-0.015,-0.2835,1.7534,0.8945,1.0084,0.9242,0.0746
Richarlison,Tottenham,ATT,CENTRAVANTI,1926.0,0.7908,-0.0213,1.4483,0.7107,0.9746,0.2961,0.568,30.8826,0.8761,0.3598,0.4557,0.6159,0.5691,0.632,11,9.87,1.114,0.3597,1.13,0.461,0.1598,0.9974,0.7311,-0.255,29.04,0.2996,38,32,0,0,0.9211,22,60,12,80,274,126,1.5361,2.4596,-1.0682,-0.3699,0.5992,0.8401,-1.2723,0.422
Tijjani Reijnders,Manchester City,CEN,MEZZALA,1642.0,0.7636,0.6152,0.8864,0.9824,1.1516,0.4455,0.3581,14.2062,0.9505,0.3706,0.3158,0.3285,0.316,0.3787,5,4.86,1.029,0.0635,0.14,0.266,0.1688,1.0148,0.4848,-0.299,27.82,0.4032,38,28,0,0,0.8684,23,35,98,96,228,191,2.3677,0.9578,-0.5782,0.091,0.1342,0.2182,-0.3793,-0.1722
Maxim De Cuyper,Brighton,DIF,TERZINO,1412.0,0.7321,0.8383,0.6021,0.2657,0.3319,0.476,0.2912,14.4289,0.9793,0.2397,0.2714,0.2062,0.1209,0.1348,2,1.75,1.143,0.189,0.25,0.112,0.2983,1.0143,0.6499,-0.238,25.42,0.6331,38,30,0,0,0.8947,24,30,133,77,136,162,3.0,1.9825,-0.2142,-1.3204,0.8575,0.9256,0.6551,0.42
Jack Hinshelwood,Brighton,CEN,TREQUARTISTA,1773.0,0.6782,0.697,0.5393,0.234,0.1894,0.6576,0.3213,16.7498,0.9974,0.4869,0.3336,0.2625,0.2369,0.2364,4,4.76,0.84,-0.3483,-0.76,0.242,0.1188,0.9859,0.4205,0.385,21.12,0.7701,38,27,0,0,0.8553,25,15,115,144,24,204,1.8104,1.698,-0.1761,1.4751,-0.1733,-0.3584,1.2297,-0.3443
Kiernan Dewsbury-Hall,Everton,ATT,TREQUARTISTA,2649.0,0.6637,0.4931,0.7917,-0.3019,0.1054,0.2826,0.3845,24.0812,1.08,0.5029,0.3942,0.389,0.2942,0.3572,8,4.33,1.848,1.7637,3.67,0.147,0.2232,0.9881,0.3305,-0.066,27.71,0.4139,38,31,0,0,0.9079,26,64,86,13,225,145,-0.4974,1.1402,0.5864,1.0453,2.2285,2.595,-0.6868,0.2483
Benjamin Sesko,Manchester United,ATT,CENTRAVANTI,1636.0,0.6528,0.8062,0.5496,0.378,0.6567,0.7254,0.623,23.5057,0.8158,0.4299,0.6633,0.4893,0.5722,0.6241,11,12.52,0.879,-0.4296,-1.52,0.689,0.0325,0.9993,1.2757,0.317,22.98,0.751,38,30,0,0,0.8947,27,9,6,128,48,162,2.1457,1.0286,-1.5576,0.3234,0.0776,-0.1465,1.04,0.0746
Martin Odegaard,Arsenal,CEN,MEZZALA,1347.0,0.6181,0.4634,0.7128,0.8677,0.7487,0.3373,0.3332,13.4671,0.9872,0.2134,0.2743,0.326,0.293,0.3297,1,1.24,0.806,-0.2155,-0.24,0.083,0.3314,1.014,0.8354,-0.664,27.43,0.4417,38,24,0,0,0.8158,28,55,114,155,214,247,1.9904,0.7427,-0.2635,-1.7799,-0.2286,-0.1725,-0.2104,-0.8633
Reece James,Chelsea,DIF,TERZINO,1927.0,0.6128,0.5015,0.5512,0.6187,0.9186,0.4061,0.2122,10.3805,1.0754,0.3353,0.2098,0.1778,0.1815,0.2387,2,1.24,1.613,0.6825,0.76,0.058,0.1868,1.0067,0.1246,-0.656,26.46,0.5374,38,29,0,0,0.8816,29,40,166,32,176,176,2.0002,0.481,0.7724,-0.0676,1.7069,1.7697,0.2139,0.2815
Thiago,Brentford,ATT,CENTRAVANTI,3292.0,0.6011,1.0458,0.0466,0.5996,0.7147,0.4871,0.5587,29.6433,,0.4803,0.6729,0.4075,0.549,0.5925,14,17.84,0.785,-0.9091,-3.84,0.488,0.0943,0.9991,0.3149,-0.45,24.91,0.6739,38,38,0,0,1.0,30,29,14,160,112,8,1.4327,2.2192,,0.8218,-0.131,-0.7458,0.645,1.4604
Antoine Semenyo,Manchester City,ATT,ALA,3220.0,0.5984,0.3762,0.8437,0.0609,0.1938,0.476,0.4304,21.8281,0.9305,0.5533,0.4376,0.4229,0.376,0.4165,16,11.305,1.415,1.3964,4.695,0.316,0.1156,1.0012,0.4275,-0.011,26.38,0.545,38,37,0,0,0.9868,31,30,61,51,172,26,0.0116,0.7032,-0.6268,1.5438,1.2674,2.1359,-0.0152,1.2867
Ryan Sessegnon,Fulham,DIF,TERZINO,1830.0,0.5969,0.7373,0.2894,0.5127,0.1987,0.3918,0.1896,12.8909,1.0477,0.4529,0.233,0.115,0.163,0.1179,3,2.04,1.471,0.6721,0.96,0.1,0.1097,0.9842,0.2458,0.103,26.02,0.579,38,27,0,0,0.8553,32,43,183,40,158,204,1.4875,1.4121,0.488,1.4737,1.4503,1.7519,0.4057,0.0033
Malo Gusto,Chelsea,DIF,TERZINO,2306.0,0.5805,0.2725,0.6678,0.2311,0.1535,0.4711,0.2022,9.6292,,0.4206,0.1791,0.1963,0.1442,0.1209,2,1.95,1.026,0.0358,0.05,0.076,0.1483,0.9992,0.2293,0.136,23.01,0.75,38,34,0,0,0.9474,33,32,171,97,49,86,1.7729,0.2023,,1.0503,0.6461,0.6635,1.1941,0.9773
Dominik Szoboszlai,Liverpool,ATT,TREQUARTISTA,3236.0,0.5749,0.3122,0.7753,0.5398,-0.0168,0.5766,0.3679,19.7259,,0.5317,0.3763,0.3759,0.4096,0.3427,6,3.97,1.511,1.0188,2.03,0.11,0.2459,0.9981,0.7774,1.183,25.58,0.6191,38,36,0,0,0.9737,34,23,94,37,141,45,-0.6811,0.2954,,1.3302,1.4805,1.6639,0.3643,1.1143
Morgan Rogers,Aston Villa,ATT,ALA,3301.0,0.5413,0.7059,0.295,0.3685,0.159,0.6401,0.401,25.1475,,0.5382,0.4738,0.3331,0.4485,0.4183,10,7.16,1.397,1.0614,2.84,0.195,0.2037,1.0067,0.5086,0.267,23.83,0.7348,38,37,0,0,0.9868,35,16,77,54,67,26,-0.3146,1.3471,,1.3944,1.2274,1.7171,0.957,1.2867
Nordi Mukiele,Sunderland,DIF,TERZINO,2793.0,0.5356,0.8401,0.0772,0.4303,0.6517,0.2816,0.1714,15.5027,0.9664,0.4711,0.2304,0.0931,0.1586,0.1897,3,2.78,1.079,0.1319,0.22,0.09,0.0889,0.9836,0.1605,-0.079,28.56,0.337,38,32,0,0,0.9211,36,65,198,85,253,126,1.0739,2.3808,-0.3466,1.7122,0.7419,0.8279,-0.71,0.6992
Ross Barkley,Aston Villa,CEN,MEDIANO,818.0,0.5115,0.4585,0.4661,0.5856,0.3993,0.1759,0.2965,14.0313,0.8833,0.3817,0.2796,0.2485,0.2702,0.236,3,1.92,1.562,0.7794,1.08,0.211,0.2244,1.0291,0.3986,-0.344,32.47,0.1485,38,21,0,0,0.7763,37,106,131,35,318,288,1.4354,0.9069,-1.1545,0.2231,1.0013,1.2206,-1.4962,-1.3823
Cristian Romero,Tottenham,DIF,CENTRALE,1878.0,0.5114,0.362,0.6062,0.7477,0.2148,0.2614,0.1588,14.3019,0.9108,0.3841,0.1416,0.16,0.1907,0.114,4,1.85,2.162,1.5807,2.15,0.089,0.0872,1.0156,0.1308,-0.193,28.07,0.3798,38,23,0,0,0.8026,38,76,217,5,236,261,0.7889,1.9354,-0.9173,0.572,2.699,3.0,-0.5127,-0.554
Florian Wirtz,Liverpool,ATT,TREQUARTISTA,2426.0,0.5112,0.9186,0.1432,-0.2814,-0.3238,0.4536,0.4742,21.1441,,0.449,0.6018,0.3503,0.3504,0.3669,5,7.57,0.661,-0.9341,-2.57,0.281,0.1988,0.987,1.398,1.479,23.06,0.7499,38,33,0,0,0.9342,39,34,35,193,50,107,0.4965,0.5705,,0.5123,-0.4063,-0.7771,1.0343,0.5944
Mats Wieffer,Brighton,DIF,TERZINO,1922.0,0.4986,0.4522,0.3811,0.8954,0.602,0.2838,0.1993,12.9685,0.9775,0.4162,0.21,0.157,0.2362,0.201,2,1.93,1.036,0.0504,0.07,0.09,0.1339,0.9912,0.0492,-0.785,26.52,0.5317,38,26,0,0,0.8421,40,63,173,95,181,217,1.7071,1.4408,-0.2326,0.9927,0.6642,0.6885,0.1876,-0.1363
Viktor Gyokeres,Arsenal,ATT,CENTRAVANTI,2255.0,0.4876,0.6719,0.3423,-0.4436,0.174,0.3585,0.5241,19.0246,,0.2535,0.5776,0.4329,0.3538,0.464,11,11.57,0.951,-0.1676,-0.57,0.462,0.1066,1.024,6.3571,4.655,27.97,0.389,38,36,0,0,0.9737,41,49,23,112,233,45,1.0503,0.1593,,-1.4211,0.2374,0.181,-0.8143,1.1143
Pape Sarr,Tottenham,CEN,MEZZALA,1347.0,0.4844,0.2797,0.6159,-0.2596,-0.0208,0.2978,0.2669,14.8345,0.9199,0.2633,0.2401,0.263,0.1238,0.1358,2,2.04,0.98,-0.028,-0.04,0.136,0.1624,0.9767,1.1376,0.018,23.69,0.7394,38,26,0,0,0.8421,42,57,141,104,65,217,0.9878,1.1406,-0.8406,-1.1861,0.0545,0.0901,1.0951,-0.5177
Adam Wharton,Crystal Palace,CEN,MEZZALA,2596.0,0.4714,0.2886,0.573,0.9126,1.0304,0.4974,0.2594,13.8654,,0.4784,0.2545,0.2483,0.3297,0.3462,1,1.14,0.877,-0.1311,-0.14,0.04,0.2288,0.988,0.2794,0.047,22.29,0.7743,38,34,0,0,0.9474,43,26,146,129,18,86,0.8739,0.8586,,1.3739,-0.1131,-0.0543,1.2481,0.8658
Jean-Philippe Mateta,Crystal Palace,ATT,CENTRAVANTI,2225.0,0.465,0.7208,0.1587,1.1599,0.2378,0.2376,0.5477,24.5775,1.059,0.4279,0.634,0.4155,0.6742,0.5235,8,12.91,0.62,-1.3665,-4.91,0.522,0.051,0.9837,1.7633,1.486,28.9,0.31,38,32,0,0,0.9211,44,87,16,204,268,126,1.3111,1.2365,0.416,0.3036,-0.4973,-1.3175,-1.219,0.422
Pedro Porro,Tottenham,DIF,TERZINO,2815.0,0.4597,0.3946,0.3992,0.0693,0.336,0.3764,0.1676,13.8705,,0.4894,0.1794,0.1435,0.1056,0.1503,1,1.41,0.709,-0.3453,-0.41,0.045,0.1362,1.0255,0.2391,0.401,26.69,0.5155,38,34,0,0,0.9474,45,45,203,182,187,86,0.9875,1.7754,,1.952,0.0733,0.0116,0.113,0.9773
James Ward-Prowse,Burnley,CEN,MEZZALA,1082.0,0.4588,0.646,0.102,0.4043,0.5344,0.2967,0.2573,18.4302,1.0258,0.2852,0.3032,0.1727,0.2103,0.2525,0,0.18,,-0.4243,-0.18,0.015,0.2853,0.9876,1.8837,2.318,26.46,0.5374,38,18,0,0,0.7368,46,59,147,323,176,314,0.8421,2.187,0.0674,-0.9254,,-0.4648,0.2092,-1.9013
Jurriën Timber,Arsenal,DIF,TERZINO,2475.0,0.4556,0.4655,0.4164,0.2168,0.6724,0.3564,0.2143,12.1199,0.8809,0.4298,0.2317,0.171,0.1579,0.2633,3,4.02,0.746,-0.5087,-1.02,0.146,0.0938,1.0166,0.1558,-0.336,24.93,0.6724,38,30,0,0,0.8947,47,50,164,171,115,162,2.0473,1.1261,-1.2243,1.1709,0.1401,-0.2679,0.8363,0.42
Neco Williams,Nottingham Forest,DIF,TERZINO,3203.0,0.4547,0.4285,0.321,0.2009,0.3902,0.423,0.1693,13.8302,,0.4209,0.1932,0.1309,0.1305,0.1735,2,1.87,1.07,0.0951,0.13,0.053,0.1242,0.9947,0.104,-0.388,25.11,0.6586,38,37,0,0,0.9868,48,37,201,89,124,26,1.026,1.7604,,1.0543,0.7256,0.7649,0.7727,1.3939
Jarrod Bowen,West Ham,ATT,ALA,3416.0,0.449,0.6606,0.1145,0.6294,0.4366,0.5481,0.4239,28.9224,,0.5749,0.5069,0.342,0.4672,0.4644,8,7.5,1.067,0.1826,0.5,0.198,0.2218,0.9909,0.5599,0.334,29.42,0.2732,38,38,0,0,1.0,49,24,64,91,284,8,-0.0607,2.0794,,1.7574,0.4949,0.6187,-1.4075,1.4604
Pascal Groß,Brighton,CEN,MEDIANO,1635.0,0.4467,0.2614,0.4945,0.3312,0.4078,0.4953,0.2314,16.0123,0.962,0.571,0.2299,0.2201,0.194,0.215,1,1.24,0.806,-0.2155,-0.24,0.068,0.1817,1.0171,0.2484,-0.002,34.94,0.1064,19,19,0,0,1.0,50,27,153,155,336,8,0.4498,1.4834,-0.4796,2.476,-0.2286,-0.1725,-1.6808,1.557
Gabriel,Arsenal,DIF,CENTRALE,2748.0,0.4412,0.3833,0.3635,0.2242,-0.5466,0.1658,0.2162,11.8911,1.0262,0.4316,0.2207,0.1835,0.1773,0.0765,3,4.65,0.645,-0.7652,-1.65,0.152,0.0891,1.022,0.1728,-0.269,28.43,0.3479,38,32,0,0,0.9211,51,112,162,197,244,126,2.0895,1.0412,0.2673,1.1945,-0.0424,-0.7067,-0.6597,0.6992
Sean Longstaff,Leeds,CEN,MEZZALA,999.0,0.4407,0.5398,0.2659,0.7841,0.6184,0.2774,0.2855,12.7453,0.9275,0.2219,0.2928,0.2229,0.276,0.2756,2,1.38,1.449,0.5278,0.62,0.124,0.2486,1.0157,12.8356,2.86,28.56,0.337,38,23,0,0,0.8026,52,66,135,44,253,261,1.2684,0.5326,-0.7755,-1.6788,0.8175,0.8683,-0.6696,-1.0367
Elliot Anderson,Nottingham Forest,CEN,MEDIANO,3329.0,0.44,0.3763,0.4154,0.5901,0.7409,0.6324,0.2055,15.521,,0.4716,0.2305,0.1808,0.2248,0.2395,3,2.7,1.111,0.1826,0.3,0.073,0.1311,0.994,0.5015,1.461,23.55,0.7433,38,38,0,0,1.0,53,18,169,81,60,8,0.0582,1.3404,,1.293,0.2676,0.385,1.1122,1.557
Marc Guehi,Manchester City,DIF,CENTRALE,3150.0,0.4381,0.2464,0.5061,0.1223,0.1792,0.3423,0.1957,11.4902,1.0094,0.4696,0.1882,0.1832,0.1627,0.1706,3,4.699,0.638,-0.7838,-1.699,0.134,0.0778,1.0132,0.0797,-0.624,25.86,0.5939,38,35,0,0,0.9605,54,53,180,199,153,65,1.6256,0.8925,0.0948,1.6925,-0.0551,-0.7385,0.4744,1.1158
Dango Ouattara,Brentford,ATT,ALA,2303.0,0.4379,0.8254,-0.0304,0.4689,0.2312,0.4025,0.5437,25.3318,0.8674,0.4637,0.6449,0.3849,0.5527,0.5364,7,8.7,0.805,-0.5764,-1.7,0.34,0.2294,0.9898,0.8198,0.422,24.28,0.7144,38,32,0,0,0.9211,55,42,17,157,89,126,1.2669,1.3828,-1.1388,0.6577,-0.0866,-0.33,0.8525,0.422
Harry Wilson,Fulham,ATT,ALA,2751.0,0.4292,0.1812,0.6875,0.1762,0.4204,0.425,0.3803,22.1054,,0.5298,0.3863,0.3889,0.3668,0.4353,10,5.74,1.742,1.7781,4.26,0.188,0.1796,0.993,0.4507,0.244,33.79,0.1233,38,36,0,0,0.9737,56,36,87,16,325,45,-0.5443,0.757,,1.3114,1.9932,2.613,-2.1754,1.1143
Hugo Bueno,Wolverhampton Wanderers,DIF,QUINTO,2351.0,0.419,0.3505,0.4868,0.3938,0.2498,0.4938,0.1636,13.6084,,0.25,0.1793,0.1365,0.1521,0.1192,1,0.9,1.111,0.1054,0.1,0.034,0.1401,0.9985,1.6764,3.751,23.68,0.7397,38,35,0,0,0.9605,57,28,208,81,64,65,0.8974,1.6782,,-1.1854,0.7997,0.7826,1.1466,1.1158
James Justin,Leeds,DIF,TERZINO,1895.0,0.4091,0.3954,0.2896,-0.2256,-0.1633,0.2033,0.2121,12.2702,1.0094,0.3353,0.2382,0.15,0.0673,0.095,2,2.57,0.778,-0.3556,-0.57,0.122,0.1216,0.9986,0.3304,0.868,28.25,0.3636,38,29,0,0,0.8816,58,100,167,162,240,176,1.9977,1.1818,0.0948,-0.0676,0.1979,-0.006,-0.5874,0.2815
Mathias Jensen,Brentford,CEN,MEZZALA,2258.0,0.3965,0.321,0.3888,0.3774,0.1998,0.4088,0.2607,11.6575,,0.2646,0.2732,0.2274,0.238,0.2252,3,1.6,1.875,1.1068,1.4,0.064,0.2132,0.9967,0.2091,-0.7,30.39,0.2185,38,36,0,0,0.9737,59,38,143,11,298,45,0.8938,0.2161,,-1.1706,1.5105,1.6791,-1.1892,1.2114
Danny Welbeck,Brighton,ATT,CENTRAVANTI,2286.0,0.3932,0.5138,0.2367,0.0583,0.5347,0.4052,0.4819,21.0472,,0.3235,0.5531,0.4022,0.4788,0.5669,12,10.45,1.148,0.4795,1.55,0.411,0.0894,1.003,0.7545,0.055,35.49,0.0991,38,37,0,0,0.9868,60,41,33,75,339,26,0.5821,0.5517,,-0.7289,0.6747,0.9898,-2.2993,1.2867
Matheus Cunha,Manchester United,ATT,TREQUARTISTA,2506.0,0.3921,0.4245,0.378,0.9353,-0.0504,0.27,0.3895,16.9224,,0.436,0.4655,0.3306,0.5384,0.3638,10,7.05,1.418,1.111,2.95,0.253,0.1325,1.014,0.7625,0.766,26.99,0.4872,38,33,0,0,0.9342,61,71,85,50,196,107,-0.4423,-0.2485,,0.3837,1.274,1.7791,-0.3113,0.5944
