giocatore,squadra,ruolo,ruolo_fine,minuti,TPI_totale,TPI_casa,TPI_trasferta,TPI_vs_top6,TPI_vs_forti,TPI_ext_totale,totale_output_adj,totale_centralita,totale_boost_ratio,totale_consistenza,casa_output_adj,trasferta_output_adj,vs_top6_output_adj,vs_forti_output_adj,goal_tot,xg_tot_conv,conv_ratio,finishing_quality,goal_minus_xg,xg_p90,xa_p90,sos,form_ewma,form_trend,eta,eta_index,partite_disponibili,partite_giocate,n_infortuni,giorni_out,affidabilita_fisica,rank_TPI,rank_TPI_ext,rank_output_adj,rank_conv,rank_eta,rank_affidabilita,z_totale_output_adj,z_totale_centralita,z_totale_boost_ratio,z_totale_consistenza,z_conv_ratio,z_finishing,z_eta_index,z_affidabilita_fisica
Bruno Fernandes,Manchester United,ATT,TREQUARTISTA,3082.0,1.6228,1.8108,1.031,1.8147,1.7571,1.08,0.6808,33.6897,,0.5834,0.7937,0.5002,0.7546,0.7776,5,7.36,0.679,-0.8699,-2.36,0.215,0.518,1.004,0.889,0.2,31.71,0.1683,38,35,0,0,0.9605,1,3,2,189,314,65,2.7858,3.0,,1.8415,-0.3663,-0.6968,-1.9449,0.9406
Erling Haaland,Manchester City,ATT,CENTRAVANTI,2979.0,1.5767,1.5925,1.5426,1.6021,1.5164,1.3308,0.849,38.8036,,0.5581,0.9395,0.6521,0.7806,0.7989,24,25.78,0.931,-0.3506,-1.78,0.779,0.1665,1.0121,1.0646,0.164,25.84,0.5957,38,35,0,0,0.9605,2,1,1,117,151,65,3.0,3.0,,1.5913,0.193,-0.0478,0.2445,0.9406
Enzo Fernández,Chelsea,CEN,MEDIANO,3149.0,1.3843,1.3329,1.4175,1.2876,1.1988,1.1317,0.4936,26.2801,,0.5153,0.3924,0.519,0.4064,0.5772,8,10.39,0.77,-0.7415,-2.39,0.297,0.2527,1.0024,0.3644,-0.333,25.35,0.639,38,36,0,0,0.9737,3,2,29,164,134,45,3.0,3.0,,1.8131,-0.2871,-0.909,0.6548,1.2114
Phil Foden,Manchester City,CEN,MEZZALA,2083.0,1.2551,1.2233,1.3581,0.3449,0.6108,0.7525,0.464,18.666,,0.2171,0.4474,0.3654,0.2057,0.293,7,6.68,1.048,0.1238,0.32,0.289,0.2631,0.9995,0.8193,-0.421,25.99,0.5818,38,33,0,0,0.9342,4,8,41,92,156,107,3.0,2.2557,,-1.7359,0.1651,0.3026,0.4039,0.6924
Ollie Watkins,Aston Villa,ATT,CENTRAVANTI,2908.0,1.1647,0.9718,1.3436,1.6873,1.6182,0.9136,0.6275,35.6364,,0.4528,0.6344,0.564,0.795,0.8206,16,18.81,0.851,-0.6479,-2.81,0.582,0.0873,1.0009,1.1855,0.717,30.4,0.218,38,37,0,0,0.9868,5,4,4,139,299,26,2.1956,3.0,,0.5499,0.0155,-0.4194,-1.6903,1.2867
Anton Stach,Leeds,CEN,MEZZALA,2394.0,1.0335,0.9914,1.2346,0.8179,0.5375,0.6111,0.3101,21.0361,0.7423,0.5266,0.3116,0.2735,0.2473,0.2084,5,2.92,1.712,1.2172,2.08,0.11,0.2241,0.991,0.2058,-0.431,27.52,0.4327,38,29,0,0,0.8816,6,21,124,20,218,176,1.6407,2.9454,-2.3635,1.9476,1.2453,1.8336,-0.2499,0.0013
Bruno Guimarães,Newcastle United,CEN,MEZZALA,2467.0,1.0041,1.1378,0.6764,1.1427,0.896,0.6141,0.2987,17.2039,1.294,0.4384,0.3373,0.23,0.2882,0.2589,7,5.06,1.383,0.8624,1.94,0.185,0.1415,1.0131,0.2774,-0.235,28.52,0.3403,38,29,0,0,0.8816,7,20,130,56,251,176,1.469,1.8302,2.3672,0.8979,0.7101,1.3368,-0.6551,0.0013
Daniel Muñoz,Crystal Palace,DIF,QUINTO,2417.0,1.0024,0.9093,0.9773,0.8153,0.2521,0.5421,0.2678,16.2434,1.1292,0.4776,0.2652,0.221,0.2309,0.1355,4,3.15,1.27,0.4789,0.85,0.117,0.1888,1.005,0.3672,0.191,29.99,0.239,38,29,0,0,0.8816,8,25,140,66,294,176,3.0,2.6555,1.3246,1.7974,1.087,1.4215,-1.1618,0.2815
Mathis Cherki,Manchester City,ATT,TREQUARTISTA,1792.0,0.9647,0.8805,0.9769,0.0894,0.2111,0.7811,0.6562,21.2231,,0.3431,0.6717,0.535,0.4961,0.5445,4,4.67,0.857,-0.31,-0.67,0.235,0.5414,1.0182,0.5498,-0.558,22.77,0.7603,38,33,0,0,0.9342,9,7,3,136,40,107,2.5133,0.5858,,-0.535,0.0288,0.003,1.0876,0.5944
Hugo Ekitike,Liverpool,ATT,CENTRAVANTI,1835.0,0.9611,1.1869,0.5526,0.1855,1.2106,0.6798,0.6212,25.8707,1.0841,0.5621,0.6786,0.4738,0.492,0.6666,11,11.93,0.922,-0.2693,-0.93,0.585,0.1216,1.0188,0.6228,-0.008,23.93,0.7309,38,28,0,0,0.8684,10,13,7,119,72,191,2.1253,1.4874,0.6197,1.6308,0.1731,0.0539,0.937,-0.2715
